dataset,seed,support_rule,draw,n_queries,coverage,mean_cost_valid,mean_changed_valid,sparse_share_leq3
german_credit,53,feature_importance,0,48,1.0,0.9200032078968814,1.125,1.0
german_credit,61,nearest_positive,0,35,1.0,0.5308765375011528,1.0285714285714285,1.0
german_credit,61,random,0,35,0.9428571428571428,0.7838326401487918,1.0,1.0
german_credit,61,random,1,35,1.0,0.7392089010039788,1.0,1.0
german_credit,61,random,2,35,0.9714285714285714,0.6126564439554693,1.0,1.0
german_credit,61,random,3,35,0.9714285714285714,0.5721937431802734,1.0,1.0
german_credit,61,random,4,35,1.0,0.7144544882192584,1.0285714285714285,1.0
german_credit,61,feature_importance,0,35,1.0,0.5308765375011528,1.0285714285714285,1.0
german_credit,73,nearest_positive,0,44,1.0,0.9646154566530687,1.2045454545454546,1.0
german_credit,73,random,0,44,0.7727272727272727,0.8153358937846249,1.1176470588235294,1.0
german_credit,73,random,1,44,0.7045454545454546,0.9564972826839143,1.1290322580645162,1.0
german_credit,73,random,2,44,0.6818181818181818,0.9219526680228082,1.1333333333333333,1.0
german_credit,73,random,3,44,0.6590909090909091,0.8919000271835382,1.1724137931034482,1.0
german_credit,73,random,4,44,0.7727272727272727,1.1516717170273119,1.1470588235294117,1.0
german_credit,73,feature_importance,0,44,1.0,0.9646154566530687,1.2045454545454546,1.0
german_credit,89,nearest_positive,0,71,0.9859154929577465,0.38268540362075215,1.0571428571428572,1.0
german_credit,89,random,0,71,0.9154929577464789,0.39682178611478996,1.0307692307692307,1.0
german_credit,89,random,1,71,0.9154929577464789,0.481136729762415,1.0461538461538462,1.0
german_credit,89,random,2,71,0.9154929577464789,0.5047317828875272,1.0153846153846153,1.0
german_credit,89,random,3,71,0.9295774647887324,0.5192527493319254,1.0454545454545454,1.0
german_credit,89,random,4,71,0.9436619718309859,0.5915849435342397,1.0298507462686568,1.0
